team,rank,points
France,1,1877.32
Spain,2,1876.4
Argentina,3,1874.81
England,4,1825.97
Portugal,5,1763.83
Brazil,6,1761.16
Netherlands,7,1757.87
Morocco,8,1755.87
Belgium,9,1734.71
Germany,10,1730.37
Croatia,11,1717.07
Italy,12,1700.37
Colombia,13,1693.09
Senegal,14,1688.99
Mexico,15,1681.03
United States,16,1673.13
Uruguay,17,1673.07
Japan,18,1660.43
Switzerland,19,1649.4
Denmark,20,1620.81
Iran,21,1615.3
Turkey,22,1599.04
Ecuador,23,1594.78
Austria,24,1593.45
South Korea,25,1588.66
Nigeria,26,1585.09
Australia,27,1580.67
Algeria,28,1564.26
Egypt,29,1563.24
Canada,30,1556.48
Norway,31,1550.94
Ukraine,32,1546.88
Panama,33,1540.64
Ivory Coast,34,1532.98
Poland,35,1528.0
Russia,36,1525.6
Wales,37,1524.29
Sweden,38,1514.77
Serbia,39,1508.65
Paraguay,40,1503.5
Czech Republic,41,1501.38
Hungary,42,1500.58
Scotland,43,1498.35
Tunisia,44,1483.05
Cameroon,45,1481.24
DR Congo,46,1478.35
Greece,47,1475.82
Slovakia,48,1473.94
Venezuela,49,1468.05
Uzbekistan,50,1465.34
Costa Rica,51,1459.9
Mali,52,1459.13
Peru,53,1455.87
Chile,54,1455.28
Qatar,55,1454.96
Romania,56,1451.16
Iraq,57,1447.14
Slovenia,58,1446.44
Republic of Ireland,59,1436.63
South Africa,60,1429.73
Saudi Arabia,61,1421.43
Burkina Faso,62,1412.49
Jordan,63,1391.45
Albania,64,1388.06
Bosnia and Herzegovina,65,1385.84
Honduras,66,1380.27
North Macedonia,67,1372.04
United Arab Emirates,68,1370.47
Cape Verde,69,1366.13
Northern Ireland,70,1362.16
Jamaica,71,1358.0
Georgia,72,1350.18
Finland,73,1346.41
Ghana,74,1346.31
Iceland,75,1345.07
Bolivia,76,1329.42
Israel,77,1328.33
Kosovo,78,1318.83
Oman,79,1313.46
Guinea,80,1300.01
Montenegro,81,1295.52
Curaçao,82,1294.65
Haiti,83,1291.71
Syria,84,1288.56
New Zealand,85,1281.57
Bulgaria,86,1278.9
Gabon,87,1272.51
Uganda,88,1264.09
Angola,89,1263.1
Benin,90,1258.98
Bahrain,91,1258.53
Zambia,92,1255.82
Thailand,93,1252.14
China PR,94,1251.6
Palestine,95,1244.73
Guatemala,96,1243.47
Belarus,97,1235.82
Luxembourg,98,1227.77
Vietnam,99,1225.68
El Salvador,100,1225.26
Mozambique,101,1224.31
Trinidad and Tobago,102,1222.94
Tajikistan,103,1221.78
Madagascar,104,1203.76
Equatorial Guinea,105,1195.2
Armenia,106,1191.42
Kyrgyz Republic,107,1191.14
Lebanon,108,1187.96
Comoros,109,1187.91
Kazakhstan,110,1182.96
Kenya,111,1182.23
Libya,112,1182.08
Tanzania,113,1180.27
Niger,114,1179.66
Mauritania,115,1170.72
The Gambia,116,1160.38
Sudan,117,1157.22
Korea DPR,118,1151.05
Sierra Leone,119,1148.98
Namibia,120,1148.84
Togo,121,1147.31
Indonesia,122,1144.88
Faroe Islands,123,1137.14
Azerbaijan,124,1136.67
Suriname,125,1132.43
Cyprus,126,1128.33
Malawi,127,1128.03
Rwanda,128,1126.62
Estonia,129,1121.1
Zimbabwe,130,1118.12
Nicaragua,131,1115.13
Guinea-Bissau,132,1108.38
Congo,133,1105.96
Kuwait,134,1105.1
Philippines,135,1094.1
India,136,1091.03
Latvia,137,1090.57
Malaysia,138,1086.22
Central African Republic,139,1083.57
Liberia,140,1079.02
Turkmenistan,141,1078.65
Burundi,142,1078.01
Dominican Republic,143,1077.95
Ethiopia,144,1071.55
Lesotho,145,1067.13
Botswana,146,1063.63
Singapore,147,1059.53
Lithuania,148,1058.42
Yemen,149,1049.49
Guyana,150,1049.32
New Caledonia,151,1036.95
St Kitts and Nevis,152,1036.33
Solomon Islands,153,1031.89
Fiji,154,1029.7
"Hong Kong, China",155,1026.63
Puerto Rico,156,1026.11
Tahiti,157,1019.04
Myanmar,158,1011.88
Moldova,159,1004.16
Vanuatu,160,997.01
Malta,161,987.73
Antigua and Barbuda,162,986.58
Grenada,163,982.57
Cuba,164,981.42
Eswatini,165,979.01
Bermuda,166,976.87
St Lucia,167,976.71
Papua New Guinea,168,974.9
Afghanistan,169,972.75
South Sudan,170,970.94
St Vincent and the Grenadines,171,968.27
Maldives,172,954.93
Andorra,173,945.34
Chinese Taipei,174,923.78
Montserrat,175,916.75
Nepal,176,914.54
Cambodia,177,911.54
Mauritius,178,911.49
Barbados,179,909.89
Belize,180,907.0
Bangladesh,181,899.53
Dominica,182,897.69
Chad,183,896.85
Eritrea,184,887.06
Laos,185,885.03
Bhutan,186,880.55
Mongolia,187,879.75
Cook Islands,188,877.53
Aruba,189,877.3
Samoa,190,876.41
Sri Lanka,191,871.82
American Samoa,192,871.61
Brunei Darussalam,193,863.09
Macau,194,858.03
Cayman Islands,195,855.45
São Tomé and Príncipe,196,855.44
Djibouti,197,853.58
Somalia,198,839.17
Tonga,199,835.64
Timor-Leste,200,825.64
Guam,201,825.43
Pakistan,202,824.6
Gibraltar,203,810.14
Seychelles,204,804.16
Turks and Caicos Islands,205,803.98
Liechtenstein,206,803.57
Bahamas,207,786.82
British Virgin Islands,208,782.14
US Virgin Islands,209,779.76
Anguilla,210,760.25
San Marino,211,726.33
