,group,points,gd,gf,rank
Mexico,A,0,0,0,-15.0
South Africa,A,0,0,0,-60.0
South Korea,A,0,0,0,-25.0
Czech Republic,A,0,0,0,-41.0
Canada,B,0,0,0,-30.0
Bosnia and Herzegovina,B,0,0,0,-65.0
Qatar,B,0,0,0,-55.0
Switzerland,B,0,0,0,-19.0
Brazil,C,0,0,0,-6.0
Morocco,C,0,0,0,-8.0
Haiti,C,0,0,0,-83.0
Scotland,C,0,0,0,-43.0
United States,D,0,0,0,-16.0
Paraguay,D,0,0,0,-40.0
Australia,D,0,0,0,-27.0
Turkey,D,0,0,0,-22.0
Germany,E,0,0,0,-10.0
Curaçao,E,0,0,0,-82.0
Ivory Coast,E,0,0,0,-34.0
Ecuador,E,0,0,0,-23.0
Netherlands,F,0,0,0,-7.0
Japan,F,0,0,0,-18.0
Sweden,F,0,0,0,-38.0
Tunisia,F,0,0,0,-44.0
Belgium,G,0,0,0,-9.0
Egypt,G,0,0,0,-29.0
Iran,G,0,0,0,-21.0
New Zealand,G,0,0,0,-85.0
Spain,H,0,0,0,-2.0
Cape Verde,H,0,0,0,-69.0
Saudi Arabia,H,0,0,0,-61.0
Uruguay,H,0,0,0,-17.0
France,I,0,0,0,-1.0
Senegal,I,0,0,0,-14.0
Iraq,I,0,0,0,-57.0
Norway,I,0,0,0,-31.0
Argentina,J,0,0,0,-3.0
Algeria,J,0,0,0,-28.0
Austria,J,0,0,0,-24.0
Jordan,J,0,0,0,-63.0
Portugal,K,0,0,0,-5.0
DR Congo,K,0,0,0,-46.0
Uzbekistan,K,0,0,0,-50.0
Colombia,K,0,0,0,-13.0
England,L,0,0,0,-4.0
Croatia,L,0,0,0,-11.0
Ghana,L,0,0,0,-74.0
Panama,L,0,0,0,-33.0
